station,lat,long,zone,postcode,type
Beckenham Road,51.40952967986142,-0.043391921968959,"3,4,5,6",BR3 4RR,tube
Beckton,51.51437673300682,0.06152529715978421,3,E6 5NT,tube
Beckton Park,51.50890088618667,0.05482193904539788,3,E6 5NE,tube
Becontree,51.53958561974398,0.12688029269359377,5,RM9 4TP,tube
Beddington Lane,51.389239651469765,-0.14213843319054756,"3,4,5,6",CR0 4TF,tube
Belgrave Walk,51.400961356342684,-0.1784964722050899,"3,4,5,6",CR4 4NY,tube
Bellingham,51.433864862646075,-0.020411770293799158,3,SE6 3BT,tube
Belmont,51.34411959994204,-0.19948925087296165,5,SM2 6BH,tube
Belsize Park,51.55019061178192,-0.16397449102551867,2,NW3 2AL,tube
Belvedere,51.49195925487853,0.15203379329231395,5,DA17 6JW,tube
Bermondsey,51.49796067750633,-0.06433008981152362,2,SE16 4RX,tube
Berrylands,51.39876794902152,-0.28032147288452236,5,KT5 8LT,tube
Bethnal Green,51.527191653122124,-0.05539211145016204,2,E2 0ET,tube
Bethnal Green Rail,51.524282643710485,-0.06001374239914654,2,E2 6JL,tube
Bexley,51.44081477613684,0.1482039142729925,6,DA5 1AQ,tube
Bexleyheath,51.46355017881958,0.13336296607247622,5,DA7 4AA,tube
Bickley,51.400379644488545,0.044304031699826496,5,BR1 2EB,tube
Birkbeck,51.40386300465971,-0.0562862355401811,4,BR3 4TA,tube
Blackfriars,51.511586761695014,-0.10299538462450546,1,EC4V 4DD,tube
Blackheath,51.46540802722941,0.0083365947125195,3,SE3 9LE,tube
Blackhorse Lane,51.384746070367555,-0.07053394761446469,"3,4,5,6",CR0 6NL,tube
Blackhorse Road,51.58577656484627,-0.039625711465052844,3,E17 6JJ,tube
Blackwall,51.50783153133504,-0.007235165877666228,2,E14 9QB,tube
Bond Street,51.513797282327445,-0.14961360853164615,1,W1C 2HU,tube
Borough,51.50104871772216,-0.09419732263858394,1,SE1 1JX,tube
Boston Manor,51.49576500584812,-0.32474718262238134,4,TW8 9LQ,tube
Bounds Green,51.60703172061751,-0.12417706473479641,"3,4",N11 2EU,tube
Bow Church,51.52761517272713,-0.020499899177146366,2,E3 3AA,tube
Bow Road,51.52704176950966,-0.02435959063268143,2,E3 4DH,tube
Bowes Park,51.60724932125086,-0.11979221834416037,"3,4",N22 8NL,tube
Brent Cross,51.57659886839313,-0.21333583786630983,3,NW11 9UA,tube
Brentford,51.487535802426834,-0.309622531111568,4,TW8 9LF,tube
Brentwood,51.613610829903095,0.29967282145821766,7,CM14 4EW,tube
Brimsdown,51.65524456622429,-0.031092276891003114,5,EN3 7NA,tube
Brixton,51.46273661697816,-0.11455209682922837,2,SW9 8HE,tube
Brockley,51.46474960336704,-0.037748250467778785,2,SE4 2RW,tube
Bromley North,51.40894234206782,0.017235451958710183,4,BR1 3NN,tube
Bromley South,51.40000131982635,0.01735958049731488,5,BR1 1LX,tube
Bromley-by-Bow,51.524840183700945,-0.011682374353045397,"2,3",E3 3BT,tube
Brondesbury,51.54526203281226,-0.20283848334279223,2,NW6 7QL,tube
Brondesbury Park,51.54032502366848,-0.21047394410807815,2,NW6 6RP,tube
Broxbourne,51.747015552729756,-0.011024083782252812,9,EN10 7AW,tube
Bruce Grove,51.59401113363423,-0.07039898936228008,3,N17 8AD,tube
Buckhurst Hill,51.62657674004732,0.04671254142876922,5,IG9 5ET,tube
Burnham,51.52350398967751,-0.6463882083350451,,SL1 6JT,tube
Burnt Oak,51.60255148173764,-0.2643307082008112,4,HA8 0LA,tube
Bush Hill Park,51.641481848544466,-0.06928041222613097,5,EN1 1BA,tube
Bushey,51.645543532577356,-0.3847215327260823,8,WD19 4ST,tube
Caledonian Road,51.54788524982811,-0.11836086106469487,2,N7 9BA,tube
Caledonian Road and Barnsbury,51.543284389381675,-0.11520485594881438,2,N1 0SL,tube
Cambridge Heath,51.5320596731624,-0.0572032006374023,2,E2 7NA,tube
Camden Road,51.54185100885649,-0.13920311140104435,2,NW1 9LQ,tube
Camden Town,51.53996912160411,-0.14245237987648948,2,NW1 8NH,tube
Canada Water,51.498168331250874,-0.05080712084909722,2,SE16 7BB,tube
Canary Wharf,51.50357837512887,-0.019466840139324412,2,E14 4QS,tube
Canning Town,51.51387030350512,0.008305632748764395,3,E16 1DQ,tube
Cannon Street,51.51136194370192,-0.09025052641503478,1,EC4N 6AP,tube
Canonbury,51.54818823621243,-0.09257419532817909,2,N1 2PG,tube
Canons Park,51.60765009028535,-0.294391591494146,5,HA8 6RN,tube
Carpenders Park,51.628186088758376,-0.3858293151270327,7,WD19 7DT,tube
Carshalton,51.36842609544169,-0.16639832639559807,5,SM5 2HT,tube
Carshalton Beeches,51.357386565323054,-0.1694963244693624,5,SM5 3LG,tube
Castle Bar Park,51.52297312488631,-0.3315040699380954,4,W7 1AY,tube
Caterham,51.28216269622904,-0.07860729821309777,6,CR3 6LB,tube
Catford,51.444264871170326,-0.026538498556701602,3,SE6 4XT,tube
Catford Bridge,51.44469458702001,-0.024821875910075692,3,SE6 4RE,tube
Centrale,51.37576730003021,-0.10388810322163233,"3,4,5,6",CR0 1XT,tube
Chadwell Heath,51.56804709196961,0.12890111256817982,5,RM6 4BE,tube
Chafford Hundred,51.485554969647055,0.2874757055480307,7,RM16 6QQ,tube
Chalfont and Latimer,51.66790656389214,-0.5610677589431823,8,HP7 9PR,tube
Chalk Farm,51.54414883734655,-0.15373306950607965,2,NW3 2BP,tube
Chancery Lane,51.518493835819875,-0.11196202676241712,1,WC1V 6DR,tube
Charing Cross,51.50835842818622,-0.12480293723304417,1,WC2N 5HS,tube
Charlton,51.48683504159718,0.030941644861415016,3,SE7 7AB,tube
Cheam,51.35545989418584,-0.21421128092797112,5,SM3 8RZ,tube
Chelsfield,51.3562647640171,0.1089841204169227,6,BR6 6EU,tube
Chesham,51.705379023301255,-0.6114296352979314,9,HP5 1DH,tube
Cheshunt,51.70287327834175,-0.02388741542966125,8,EN8 9AQ,tube
Chessington North,51.364242952267205,-0.3004761235978513,6,KT9 2RT,tube
Chessington South,51.35670402954921,-0.30708901519388654,6,KT9 2DD,tube
Chigwell,51.61785799974183,0.07617921535230276,4,IG7 6NT,tube
Chingford,51.63325339188138,0.009514325530879747,5,E4 6AL,tube
Chipstead,51.30927470676411,-0.16944586783464247,6,CR5 3TD,tube
Chislehurst,51.405598505329735,0.05749182164774897,5,BR7 5NN,tube
Chiswick,51.48078105961514,-0.2670133177082469,3,W4 2QE,tube
Chiswick Park,51.494370277942714,-0.2677369179922983,3,W4 5NE,tube
Chorleywood,51.65426508092765,-0.5183339108571566,7,WD3 5ND,tube
Church Street,51.37370639339632,-0.10434682826811881,"3,4,5,6",CR0 1RN,tube
City Thameslink,51.513934900660104,-0.10361844855280276,1,EC4M 7JH,tube
Clapham Common,51.461803445807924,-0.1383149013879234,2,SW4 7AJ,tube
Clapham High Street,51.46546929922253,-0.132464501562701,2,SW4 6DQ,tube
Clapham Junction,51.464366507789435,-0.17031500054416623,2,SW11 2QP,tube
Clapham North,51.46491600472909,-0.1299100619146426,2,SW4 7TS,tube
Clapham South,51.45267624920499,-0.14798406833029198,"2,3",SW12 9DU,tube
Clapton,51.56156899642487,-0.05748945826500976,2,E5 9JP,tube
Clock House,51.408540496896926,-0.0407020924973615,4,BR3 4PR,tube
Cockfosters,51.65202423620424,-0.14991670977205104,5,EN4 0DZ,tube
Colindale,51.59523010894074,-0.2502875400711353,4,NW9 5HR,tube
Colliers Wood,51.41875889952969,-0.17741509804960517,3,SW19 2HR,tube
Coombe Lane,51.359789214486234,-0.05953157112180604,"3,4,5,6",CR0 5RF,tube
Coulsdon South,51.31580072052946,-0.13790308918271746,6,CR5 3EA,tube
Coulsdon Town,51.32245273545386,-0.13434705624020798,6,CR5 2JA,tube
Covent Garden,51.51276003353218,-0.12450689373696637,1,WC2E 9JT,tube
Crayford,51.44854705225513,0.17850271816040406,6,DA1 3PY,tube
Crews Hill,51.68447443881015,-0.10684410009928728,6,EN2 8AY,tube
Cricklewood,51.55842232306195,-0.21254793147676676,3,NW2 1HL,tube
Crofton Park,51.45517923504132,-0.0365465817645417,3,SE4 2RA,tube
Crossharbour and London Arena,51.495839957405124,-0.01493281309024971,2,E14 8AD,tube
Crouch Hill,51.57132690836755,-0.1171332840976015,3,N4 4AU,tube
Croxley,51.64700456011115,-0.4416037868779258,7,WD3 3DY,tube
Crystal Palace,51.418170235167786,-0.07260723245875281,"3,4",SE19 2AZ,tube
Custom House,51.50962210163043,0.025772510305280598,3,E16 3BX,tube
Cutty Sark for Maritime Greenwich,51.48194445322957,-0.01058186672360873,2,SE10 9SW,tube
Cyprus,51.50852668850102,0.06384075607487531,3,E6 5PH,tube
Dagenham Dock,51.526287437082075,0.14503101528852466,5,RM9 6RA,tube
Dagenham East,51.54418761328958,0.16583343330916664,5,RM10 8AA,tube
Dagenham Heathway,51.54121203550144,0.14767972147400332,5,RM9 5AN,tube
Dalston Junction,51.54609359547847,-0.07499420449881748,2,E8 3DL,tube
Dalston Kingsland,51.54866769606561,-0.07622692161799678,2,E8 2JS,tube
Debden,51.64549214152591,0.08380147525632461,6,IG10 3TG,tube
Denmark Hill,51.468200492925064,-0.09098786910291701,2,SE5 8BB,tube
Deptford,51.47889004331755,-0.026196319533912292,2,SE8 3NU,tube
Deptford Bridge,51.47447673839478,-0.022052428774292577,"2,3",SE10 8BU,tube
Devons Road,51.52225844074295,-0.0180077541751607,2,E3 3QX,tube
Dollis Hill,51.55185020227431,-0.23879775836475764,3,NW10 5NB,tube
Drayton Green,51.51600413801542,-0.32961125337869956,4,W13 0JX,tube
Drayton Park,51.553078136383206,-0.10577019910346774,2,N5 1NT,tube
Dundonald Road,51.41739780912452,-0.20752711020077022,"3,4,5,6",SW19 3QJ,tube
Ealing Broadway,51.51486148277942,-0.3020103761336258,3,W5 2NU,tube
Ealing Common,51.510248187933655,-0.2871514131053222,3,W5 3LD,tube
Earls Court,51.49135635619762,-0.19431380709514257,"1,2",SW5 9QA,tube
Earlsfield,51.44223850305,-0.18727268654317786,3,SW18 4SW,tube
East Acton,51.51626301045364,-0.2481122212813141,2,W12 0BP,tube
East Croydon,51.37571595390626,-0.09186349553662161,5,CR0 1LF,tube
East Dulwich,51.46162545364044,-0.08043657113245481,2,SE22 8EF,tube
East Finchley,51.5873322776344,-0.16474388444671967,3,N2 0NW,tube
East Ham,51.53924625194368,0.051516293480576195,"3,4",E6 2JA,tube
East India,51.5086840050616,-0.0023703315489933146,"2,3",E14 9PS,tube
East Putney,51.45887944035384,-0.21099823159594175,"2,3",SW15 6SN,tube
Eastcote,51.57655117614093,-0.39682329014980217,5,HA5 1QZ,tube
Eden Park,51.390796061854985,-0.02666971551408484,5,BR3 3HQ,tube
Edgware,51.61422917451505,-0.2750936620617057,5,HA8 7AW,tube
Edgware Road (Bakerloo),51.520645084536135,-0.17053954989974043,1,W2 1DY,tube
Edgware Road (Circle/District/Hammersmith and City),51.519997771093394,-0.16766825265117855,1,NW1 5DH,tube
Edmonton Green,51.62511560436454,-0.06163901923512943,4,N9 9DX,tube
Elephant and Castle,51.49584922002923,-0.10073871425628238,"1,2",SE1 6LW,tube
Elm Park,51.54912490990794,0.19725268428342685,6,RM12 4RW,tube
Elmers End,51.39829103016248,-0.049463832139958384,4,BR3 4EJ,tube
Elmstead Woods,51.41708070663452,0.04422934284306112,4,BR7 5EW,tube
Elstree and Borehamwood,51.65287512084613,-0.27982861491637107,6,WD6 3LS,tube
Eltham,51.45566230922668,0.05232930789844639,4,SE9 6UB,tube
Elverson Road,51.468372165038545,-0.016816376196184032,"2,3",SE8 4LA,tube
Embankment,51.50731229694681,-0.1223673356621198,1,WC2N 6NS,tube
Emerson Park,51.56911527219532,0.22022293719981073,6,RM11 2JR,tube
Enfield Chase,51.65272196544716,-0.0907042050119525,5,EN2 7AA,tube
Enfield Lock,51.67084607825663,-0.028391070061503106,6,EN3 6BW,tube
Enfield Town,51.65196994515368,-0.07932992172819582,5,EN1 1YB,tube
Epping,51.69368635497796,0.11382555351421217,6,CM16 4HW,tube
Epsom Downs,51.32365904938116,-0.23897022345966162,6,KT17 4JX,tube
Erith,51.48164796323426,0.17426129102681479,6,DA8 1TY,tube
Essex Road,51.54063315566608,-0.09636552536110189,2,N1 2SU,tube
Euston,51.528664114832,-0.13329647081915122,1,NW1 2DU,tube
Euston Square,51.525468382999584,-0.13534448844269154,1,NW1 2BN,tube
Ewell East,51.345243482663065,-0.2415029979804253,6,KT17 1QR,tube
Ewell West,51.34999072305868,-0.25708912919764193,6,KT17 1TU,tube
Fairlop,51.59610969417489,0.0905932799159299,4,IG6 3HD,tube
Falconwood,51.45908592772001,0.07850969338057627,4,SE9 2RN,tube
Farringdon,51.52019551919777,-0.10484306131676423,1,EC1M 6BY,tube
Feltham,51.44787850388705,-0.4098244711576437,6,TW13 4BY,tube
Fenchurch Street,51.511566579850786,-0.07855415245390515,1,EC3M 4AJ,tube
Fieldway,51.35131696970674,-0.02450326533326912,"3,4,5,6",CR0 0QA,tube
Finchley Central,51.60090293685636,-0.19322063471165793,4,N3 2RY,tube
Finchley Road,51.547095906434386,-0.18005055863249353,2,NW6 3BS,tube
Finchley Road and Frognal,51.55011920011288,-0.1836512006949723,2,NW3 5HT,tube
Finsbury Park,51.564635274841386,-0.10588148552890234,2,N4 3JU,tube
Forest Gate,51.54931616108423,0.024189091543256335,3,E7 0QH,tube
Forest Hill,51.43930822760034,-0.05332850425339094,3,SE23 3HD,tube
Fulham Broadway,51.480260585746336,-0.19554416152789666,2,SW6 1BY,tube
Fulwell,51.433941995205664,-0.34943851764673584,6,TW2 5NY,tube
Gallions Reach,51.50903426024889,0.07177539473002964,3,E6 6FZ,tube
Gants Hill,51.57655306294169,0.06608409806317944,4,IG2 6UD,tube
George Street,51.37396589757682,-0.09871810465748097,"3,4,5,6",CRO 1LA,tube
Gidea Park,51.581866086649704,0.20597698312646676,6,RM2 6BX,tube
Gipsy Hill,51.42446938789821,-0.08383516711319614,3,SE19 1PL,tube
Gloucester Road,51.494499259625194,-0.18354355757159108,1,SW7 4SF,tube
Golders Green,51.57221521685042,-0.19483455693826343,3,NW11 7RN,tube
Goldhawk Road,51.502076596636755,-0.2274040032488232,2,W12 8EG,tube
Goodge Street,51.52061289126984,-0.13480768911472682,1,W1T 2HF,tube
Goodmayes,51.566181168031925,0.11172965502874978,4,IG3 9UH,tube
Gordon Hill,51.66350208554497,-0.09447329927294221,5,EN2 0QU,tube
Gospel Oak,51.555405048065396,-0.15130103124520655,2,NW5 1LT,tube
Grange Hill,51.61348057933538,0.09227253016869208,4,IG7 5QB,tube
Grange Park,51.64262292064852,-0.0973144232582473,5,N21 1RE,tube
Gravel Hill,51.35454318729639,-0.04312169865017812,"3,4,5,6",CR0 5BJ,tube
Great Portland Street,51.52378856271794,-0.14396142408109036,1,W1W 5PP,tube
Green Park,51.50676025371464,-0.1424775744225331,1,W1J 7BX,tube
Greenford,51.54197950701463,-0.3458787331310219,4,UB6 8PR,tube
Greenwich,51.47754764253433,-0.014863083602737517,"2,3",SE10 8JQ,tube
Grove Park,51.43043268339476,0.022598502190233866,4,SE12 0PW,tube
Gunnersbury,51.49186296322991,-0.27516413141625035,3,W4 5RP,tube
Hackbridge,51.377860649835675,-0.15387919685035845,4,SM6 7BJ,tube
Hackney Central,51.54725735659255,-0.055589511802494954,2,E8 1LL,tube
Hackney Downs,51.54907798925833,-0.0601851048568028,2,E8 1LA,tube
Hackney Wick,51.54355836778055,-0.025259502770290876,2,E9 5ER,tube
Hadley Wood,51.66840258482291,-0.17658118783538726,6,EN4 0EJ,tube
Haggerston,51.53868460901327,-0.07559525776089235,2,E8 4DY,tube
Hainault,51.602845483752255,0.09410855083015249,4,IG6 3BD,tube
Hammersmith (District),51.49181941355715,-0.2228609258853042,2,W6 9YA,tube
Hammersmith (Met.),51.49348298668772,-0.22464015450070055,2,W6 0ED,tube
Hampstead,51.55654230644866,-0.17801455810844966,2,NW3 1QG,tube
Hampstead Heath,51.555199657702005,-0.16456618167757284,3,NW3 2QD,tube
Hampton,51.415878944953676,-0.3721352456690553,6,TW12 2HU,tube
Hampton Court,51.40229331804945,-0.3427571453065689,6,KT8 9AE,tube
Hampton Wick,51.414639531606156,-0.3131036039493127,6,KT1 4DQ,tube
Hanger Lane,51.5300715563412,-0.29299614055716494,3,W5 1DL,tube
Hanwell,51.512185406676046,-0.33805187778633095,4,W7 3EB,tube
Harlesden,51.536257908620385,-0.2574956703770174,3,NW10 8UT,tube
Harold Wood,51.59320260393047,0.23420407665837287,6,RM3 0BL,tube
Harringay,51.57735773978009,-0.10520825191282068,3,N4 1RW,tube
Harringay Green Lanes,51.5771457347569,-0.09821739122071835,3,N4 2NU,tube
Harrington Road,51.399790474914624,-0.060699954346870644,"3,4,5,6",SE25 4NF,tube
Harrow and Wealdstone,51.59259408808769,-0.3342526785741267,5,HA3 7RF,tube
Harrow-on-the-Hill,51.5793875695421,-0.33700151070609563,5,HA1 1BB,tube
Hatch End,51.609827902244945,-0.3691787730321793,6,HA5 5LZ,tube
Hatton Cross,51.466684612990974,-0.4233805529699787,"5,6",TW6 3PF,tube
Haydons Road,51.425457011112904,-0.18892935727955198,3,SW19 8SL,tube
Hayes,51.37573672611433,0.010142652470698841,5,BR2 7EN,tube
Hayes and Harlington,51.50304838798409,-0.4206418932877566,5,UB3 4BX,tube
Headstone Lane,51.602499044558435,-0.3569075069574213,5,HA2 6NB,tube
Heathrow Terminal 4,51.459779698532394,-0.4477295782660727,6,TW6 3AA,tube
Heathrow Terminal 5,51.470024624464,-0.4906474891242473,6,TW6 2GA,tube
Heathrow Terminals 1 2 3,51.471288661913334,-0.4524072136493198,6,TW6 1EB,tube
Hendon,51.58007459514265,-0.2386305172919683,"3,4",NW4 4PT,tube
Hendon Central,51.583132678162094,-0.22673413710008808,"3,4",NW4 3AS,tube
Herne Hill,51.45399120427041,-0.10256290770725068,"2,3",SE24 0JW,tube
Heron Quays,51.50338653553158,-0.021953532036309648,2,E14 4JH,tube
High Barnet,51.65168793826675,-0.1941653779796151,5,EN5 5RP,tube
High Street Kensington,51.50072913416872,-0.19156605549641917,1,W8 5SA,tube
Highams Park,51.608355995963855,-0.00013528591952880162,4,E4 9LA,tube
Highbury and Islington,51.54649533884997,-0.10408213923935299,2,N1 1SE,tube
Highgate,51.57764637933854,-0.1469348609337413,3,N6 5BH,tube
Hillingdon,51.553776781763695,-0.44989798162302097,6,UB10 9NR,tube
Hither Green,51.452401723236484,-0.0009709123245438066,3,SE13 5NF,tube
Holborn,51.51723554139566,-0.11984050660293674,1,WC2B 6AA,tube
Holland Park,51.50714614814041,-0.20655777541232848,2,W11 3RB,tube
Holloway Road,51.552815921064415,-0.11293569621685982,2,N7 8HS,tube
Homerton,51.54659538619648,-0.03851234702111631,2,E9 5SD,tube
Honor Oak Park,51.450648171040484,-0.044153121032106585,3,SE23 3LE,tube
Hornchurch,51.55435547079002,0.21892699941117588,6,RM12 6LS,tube
Hornsey,51.58647467109524,-0.11181563739975993,3,N8 8SE,tube
Hounslow,51.46250422727275,-0.361796248390842,5,TW3 3DL,tube
Hounslow Central,51.470925168799894,-0.36595812136688016,4,TW3 1JG,tube
Hounslow East,51.47370731480755,-0.3552753144989688,4,TW3 4AB,tube
Hounslow West,51.47310508637143,-0.385707619977202,5,TW3 3DH,tube
Hoxton,51.53139149136721,-0.07558564687618821,"1,2",E2 8HR,tube
Hyde Park Corner,51.502583765542106,-0.15247411263186791,1,SW1X 7LY,tube
Ickenham,51.56082433291199,-0.44157950126879947,6,UB10 8PD,tube
Ilford,51.55914235666761,0.06868519118076073,4,IG1 4DU,tube
Imperial Wharf,51.47493863003009,-0.1828375028016368,2,SW6 2HA,tube
Island Gardens,51.48795007358022,-0.010493303130196344,2,E14 3FA,tube
Isleworth,51.47503687348704,-0.3373287584598126,4,TW7 4BX,tube
Iver,51.50850130163604,-0.5067404189391109,,SL0 9AU,tube
Kenley,51.324600148977446,-0.10121971217203317,6,CR8 5JA,tube
Kennington,51.48866228881571,-0.1050706127740003,2,SE11 4JQ,tube
Kensal Green,51.53052384871879,-0.22471338113804362,2,NW10 5JT,tube
Kensal Rise,51.5342147055381,-0.2208209758254941,2,NW10 3NT,tube
Kensington (Olympia),51.497879357125825,-0.2103792397678828,2,W14 0NE,tube
Kent House,51.412717586739795,-0.04581555306120756,4,BR3 1JF,tube
Kentish Town,51.55000929428177,-0.14047126270052573,2,NW5 2AA,tube
Kentish Town West,51.546547731815146,-0.1467564086224741,2,NW5 3LD,tube
Kenton,51.581495770351395,-0.31521686082632067,4,HA3 0XS,tube
Kew Bridge,51.490004145325656,-0.2888464898886721,3,TW8 0EF,tube
Kew Gardens,51.476788671230366,-0.28538100667617433,"3,4",TW9 3PZ,tube
Kidbrooke,51.46269023696999,0.02830023918547795,3,SE3 9NF,tube
Kilburn,51.54694410286596,-0.2046327166992552,2,NW6 7QL,tube
Kilburn High Road,51.53726743072475,-0.19111310361342868,2,NW6 7QL,tube
Kilburn Park,51.53513522184343,-0.19396605493970595,2,NW6 5AD,tube
King George V,51.502008711932824,0.062206214109291724,3,E16 2JF,tube
King Henry's Drive,51.34536406699128,-0.020264757424528088,"3,4,5,6",CR0 0LH,tube
King's Cross,51.53079799248029,-0.1227564205266309,1,N1 9AL,tube
Kings Cross St. Pancras,51.53031226194627,-0.12387212868703427,1,N1 9AL,tube
Kingsbury,51.58487606349117,-0.2786016037131724,4,NW9 9EG,tube
Kingston,51.412641273140125,-0.3011410349213288,6,KT1 1UJ,tube
Kingswood,51.2947227949647,-0.21123322352395998,6,KT20 6EN,tube
Knightsbridge,51.50135463701893,-0.16066448462280936,1,SW3 1ED,tube
Knockholt,51.345752156534864,0.13083103983431965,6,TN14 7HR,tube
Ladbroke Grove,51.51721033175281,-0.21019816989179294,2,W10 6HJ,tube
Ladywell,51.456192106185256,-0.019244401125486595,3,SE13 7XB,tube
Lambeth North,51.49912976538859,-0.11176826046020598,1,SE1 7XG,tube
Lancaster Gate,51.511890658328326,-0.17542992678979158,1,W2 4QH,tube
Langdon Park,51.51888391608367,-0.015213798947704839,2,E14 6NW,tube
Langley,51.50806077346535,-0.541770556061928,,SL3 6DB,tube
Latimer Road,51.51395774487751,-0.21745966331724165,2,W10 6SZ,tube
Lea Bridge,51.56663620385152,-0.03668315766277238,3,E10 7PG,tube
Lebanon Road,51.37519886025052,-0.08497364875981667,"3,4,5,6",CR0 6SF,tube
Lee,51.449458544442464,0.013364692382120524,3,SE12 9JG,tube
Leicester Square,51.51129097417173,-0.12824214662980674,1,WC2H 0AP,tube
Lewisham,51.46488069551227,-0.012432700898009246,"2,3",SE13 7RY,tube
Leyton,51.55813226231266,-0.006465331580603041,3,E10 5PS,tube
Leyton Midland Road,51.56936422878631,-0.008066347430350757,3,E10 6JT,tube
Leytonstone,51.56852230672617,0.009140451957061277,"3,4",E11 1HE,tube
Leytonstone High Road,51.563807360364464,0.008254468835955844,3,E11 4RE,tube
Limehouse,51.51231210167662,-0.03938007766249374,2,E14 7JD,tube
Liverpool Street,51.51759813225402,-0.08224962188885442,1,EC2M 7PR,tube
Lloyd Park,51.36427540535568,-0.08074627269808782,"3,4,5,6",CR0 5RA,tube
London Bridge,51.50467420930433,-0.08600559774813961,1,SE1 2SW,tube
London City Airport,51.503689745247414,0.04787271558352588,3,E16 2DS,tube
London Fields,51.54071874924931,-0.057699686220921656,2,E8 3PH,tube
Loughborough Junction,51.46667873454398,-0.10249734093063136,2,SW9 8SA,tube
Loughton,51.641570570828016,0.055279079287447894,6,IG10 4PD,tube
Lower Sydenham,51.42484679051851,-0.033330341481054016,4,SE26 5AU,tube
Maida Vale,51.529994755621196,-0.18543264493585596,2,W9 1JS,tube
Maidenhead,51.518667426954124,-0.7226749105747798,,SL6 1EW,tube
Malden Manor,51.38460911046991,-0.2611204124317338,4,KT3 5PN,tube
Manor House,51.570746986190926,-0.09568497573192744,"2,3",N4 1BZ,tube
Manor Park,51.55285442759388,0.04572387018697303,"3,4",E12 5EP,tube
Mansion House,51.5120915984511,-0.09419765724378423,1,EC4N 6JD,tube
Marble Arch,51.51396523465938,-0.15857121479275763,1,W1C 2JS,tube
Maryland,51.54566828299751,0.005681654184252551,3,E15 1SA,tube
Marylebone,51.52239640326536,-0.16349256231091294,1,NW1 6JJ,tube
Maze Hill,51.48301366443111,0.0032048968185599933,3,SE10 9XG,tube
Meridian Water,51.60831170899128,-0.05095990638439402,4,N18 3HF,tube
Merton Park,51.41339128096901,-0.2013420288124167,"3,4,5,6",SW19 3HA,tube
Mile End,51.525310919564504,-0.0326660842711517,2,E3 4DH,tube
