LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
850,2241,115983,Primary,8,9,5,6.0,5.7,2.9,16.3,"£39,001"
850,2242,115984,Primary,17,18,6,15.2,10.7,4.4,24.3,"£39,177"
850,2243,115985,Primary,9,9,4,6.6,6.0,2.3,20.8,"£42,630"
850,2246,115986,Primary,11,11,3,9.4,7.6,1.9,18.3,"£43,439"
850,2248,115988,Primary,21,20,5,16.2,10.1,3.0,22.3,"£42,110"
850,2249,115989,Primary,16,32,6,14.2,13.4,3.8,24.3,"£41,409"
850,2252,115990,Primary,37,36,10,30.6,18.3,6.5,20.3,"£40,357"
850,2254,115991,Primary,27,37,10,25.6,24.0,6.1,16.5,"£39,535"
850,2255,115992,Primary,10,5,5,6.4,2.5,2.4,21.1,"£39,723"
850,2257,115994,Primary,13,18,5,10.7,9.4,2.8,23.4,"£40,490"
850,2263,115997,Primary,25,17,7,21.6,14.0,5.1,26.1,"£41,432"
850,2265,115998,Primary,17,17,5,14.2,8.7,3.3,21.5,"£40,746"
850,2266,115999,Primary,18,21,13,14.4,10.4,5.2,20.3,"£39,421"
850,2267,116000,Primary,18,20,4,16.6,10.1,3.3,21.3,"£39,593"
850,2268,116001,Primary,17,16,5,17.0,13.1,4.7,17.9,"£37,291"
850,2269,116002,Primary,17,25,7,12.3,10.5,3.6,24.5,"£40,235"
850,2270,116003,Primary,13,21,5,10.7,11.8,2.4,25.2,"£41,167"
850,2271,116004,Primary,9,10,3,9.0,7.8,2.9,21.2,"£41,233"
850,2272,116005,Primary,30,29,9,25.9,15.6,6.6,21.9,"£35,115"
850,2273,116006,Primary,13,16,3,10.4,6.9,2.1,23.4,"£42,083"
850,2274,116007,Primary,22,22,12,16.1,11.8,6.2,23.8,"£39,672"
850,2276,116009,Primary,10,15,3,8.0,9.9,1.9,22.6,"£39,097"
850,2278,116010,Primary,24,19,7,18.7,9.2,3.5,21.8,"£40,074"
850,2282,116012,Primary,17,18,4,13.2,11.3,3.0,22.4,"£38,377"
850,2283,116013,Primary,14,13,4,11.4,6.3,2.2,21.1,"£44,230"
850,2284,116014,Primary,12,23,5,10.2,13.7,3.2,19.5,"£40,754"
850,2285,116015,Primary,14,9,3,11.5,7.0,2.3,19.7,"£37,891"
850,2286,116016,Primary,17,14,4,15.4,12.2,3.1,24.3,"£40,849"
850,2287,116017,Primary,24,26,5,20.4,19.0,4.8,20.3,"£39,669"
850,2289,116019,Primary,12,6,7,10.4,3.3,5.1,22.5,"£41,883"
850,2290,116020,Primary,17,23,4,14.4,11.7,3.2,24.3,"£38,559"
850,2291,116021,Primary,8,9,2,6.5,5.6,2.0,20.6,"£37,115"
850,2297,116022,Primary,19,21,6,17.4,12.2,4.6,22.1,"£41,540"
850,2298,116023,Primary,17,28,5,16.0,20.9,3.3,21.8,"£41,292"
850,2299,116024,Primary,8,10,3,8.0,7.8,2.7,22.1,"£39,456"
850,2300,116025,Primary,15,12,5,12.1,7.2,2.0,20.2,"£39,561"
850,2301,116026,Primary,12,17,4,11.2,11.7,3.3,16.4,"£42,352"
850,2304,116027,Primary,14,24,2,12.8,15.2,2.0,26.2,"£40,808"
850,2306,116028,Primary,12,11,3,9.6,5.4,1.8,18.8,"£36,579"
850,2309,116030,Primary,8,10,2,7.5,7.3,1.2,22,"£40,542"
850,2310,116031,Primary,15,13,5,10.8,9.5,2.8,22.8,"£38,598"
850,2312,116032,Primary,22,26,6,19.8,14.4,4.7,22,"£40,047"
850,2313,116033,Primary,23,30,3,17.7,19.7,2.1,22.9,"£40,390"
850,2314,116034,Primary,15,19,5,13.4,11.5,4.2,24.2,"£39,135"
850,2315,116035,Primary,10,11,3,8.3,6.9,1.9,20.8,"£39,926"
850,2316,116036,Primary,13,14,4,11.0,9.6,2.5,24.3,"£39,533"
850,2317,116037,Primary,14,11,3,11.0,5.3,1.9,17.7,"£40,457"
850,2318,116038,Primary,15,26,6,14.4,15.1,3.4,17.2,"£39,024"
850,2319,116039,Primary,13,15,3,11.4,7.7,2.1,22.3,"£42,318"
850,2320,116040,Primary,10,10,2,9.6,5.4,1.9,21,"£38,149"
850,2321,116041,Primary,9,10,4,7.2,5.7,2.9,24,"£42,722"
850,2322,116042,Primary,12,12,1,9.3,5.4,0.8,24.1,"£41,350"
850,2323,116043,Primary,17,25,5,15.0,9.9,2.9,22,"£38,590"
850,2324,116044,Primary,14,21,4,11.4,11.4,2.2,22.7,"£37,830"
850,2325,116045,Primary,25,14,5,22.0,9.0,4.5,20.9,"£38,304"
850,2326,116046,Primary,12,11,4,10.7,5.3,2.3,19.6,"£40,336"
850,2328,116047,Primary,10,7,4,7.6,4.5,1.9,23,"£39,910"
850,2329,116048,Primary,15,17,3,11.1,8.5,2.5,21.1,"£38,296"
850,2330,116049,Primary,11,16,3,9.4,7.7,1.6,18.8,"£38,769"
850,2332,116051,Primary,14,11,3,11.5,6.7,2.1,22,"£41,390"
850,2335,116052,Primary,15,17,4,12.6,12.6,3.7,19,"£37,273"
850,2336,116053,Primary,15,12,8,14.5,10.2,5.7,16.5,"£33,921"
850,2339,116054,Primary,19,18,8,17.6,9.7,5.4,24.1,"£41,309"
850,2341,116055,Primary,10,12,4,9.2,8.1,2.3,17.1,"£38,809"
850,2342,116056,Primary,13,15,6,11.6,10.2,3.1,22.9,"£40,642"
850,2344,116057,Primary,20,21,7,16.6,12.5,4.1,22.5,"£40,226"
850,2345,116058,Primary,15,15,4,11.8,8.9,1.7,21.1,"£40,518"
850,2346,116059,Primary,16,17,3,14.0,10.9,2.1,19.2,"£36,278"
850,2347,116060,Primary,15,26,2,11.3,17.9,1.2,17.9,"£39,005"
850,2348,116061,Primary,21,25,5,18.5,14.6,3.0,18.8,"£38,594"
850,2354,116063,Primary,17,11,3,15.0,8.2,2.5,17.5,"£36,799"
850,2357,116065,Primary,14,24,3,13.6,11.8,2.0,19,"£39,536"
850,2361,116067,Primary,10,6,5,9.9,4.5,4.3,19.1,"£41,222"
850,2367,116068,Primary,11,9,5,10.1,6.1,2.9,23.1,"£39,611"
850,2372,116069,Primary,7,9,3,6.6,5.8,1.5,23.3,"£33,848"
850,2373,116070,Primary,11,12,4,10.0,7.0,2.9,25.9,"£40,554"
850,2376,116071,Primary,19,12,3,14.6,9.2,2.5,20.1,"£36,948"
850,2377,116072,Primary,21,24,5,16.5,16.1,3.3,21.3,"£39,582"
850,2378,116073,Primary,19,17,4,16.1,8.7,2.9,21.6,"£37,951"
850,2382,116074,Primary,22,24,4,19.2,12.4,3.8,21,"£37,227"
850,2383,116075,Primary,11,14,4,10.2,9.5,2.2,21,"£41,399"
850,2384,116076,Primary,9,10,2,7.9,5.7,1.5,19.5,"£39,188"
850,2387,116078,Primary,21,18,9,17.7,11.3,6.4,23.2,"£38,754"
850,2388,116079,Primary,12,13,4,10.5,7.1,3.1,22.6,"£40,433"
850,2389,116080,Primary,9,9,3,8.0,6.4,1.8,22.3,"£37,957"
850,2392,116082,Primary,15,15,3,14.2,11.9,2.7,18.2,"£35,007"
850,2395,116083,Primary,21,21,6,17.9,11.8,4.4,23.3,"£42,455"
850,2396,116084,Primary,8,16,3,7.8,10.7,2.2,22.7,"£40,059"
852,2405,116088,Primary,24,24,6,22.0,17.2,5.0,17.7,"£40,569"
852,2406,116089,Primary,17,15,14,12.4,8.3,9.0,21.2,"£38,964"
852,2407,116090,Primary,31,13,6,30.2,8.5,4.5,21.7,"£33,609"
852,2409,116092,Primary,18,14,4,16.2,10.8,3.9,20.2,"£38,079"
852,2410,116093,Primary,19,24,4,14.5,16.7,3.4,20.2,"£37,692"
852,2423,116102,Primary,15,11,3,11.1,6.6,1.5,18.7,"£41,424"
852,2424,116103,Primary,23,25,7,20.6,18.9,5.3,20.1,"£38,333"
852,2428,116106,Primary,26,26,7,22.3,14.2,6.0,22.7,"£38,586"
852,2431,116109,Primary,15,15,6,12.1,9.9,3.6,16.8,"£39,075"
852,2432,116110,Primary,11,12,6,10.2,6.9,2.5,17.4,"£36,282"
852,2440,116116,Primary,21,23,9,20.4,18.4,4.8,20.2,"£32,693"
852,2441,116117,Primary,12,11,3,9.7,8.7,2.0,21,"£43,574"
852,2448,116123,Primary,13,15,4,11.8,10.3,3.2,17.8,"£37,765"
852,2455,116127,Primary,22,24,3,20.6,15.8,2.0,19.7,"£39,724"
852,2463,116134,Primary,20,17,5,18.3,11.0,4.6,16.4,"£35,276"
850,2470,116137,Primary,12,39,2,11.4,18.9,2.0,22,"£42,229"
852,2471,116138,Primary,24,18,6,20.0,11.1,4.3,20.6,"£41,077"
850,2510,116140,Primary,19,15,3,14.4,10.6,3.0,20.3,"£38,849"
850,2511,116141,Primary,11,6,1,8.4,3.5,1.0,20.7,"£38,028"
850,2512,116142,Primary,19,34,5,17.7,22.1,3.1,23.3,"£39,938"
850,2516,116143,Primary,3,4,2,3.0,3.4,1.3,22.3,"£33,364"
850,2517,116144,Primary,20,19,4,13.8,11.7,3.3,22.9,"£40,054"
850,2519,116145,Primary,8,12,2,7.6,7.3,1.7,20.7,"£36,510"
850,2520,116146,Primary,20,14,2,17.5,11.7,2.0,19.5,"£42,338"
850,2521,116147,Primary,12,8,3,11.1,5.3,3.0,21.5,"£42,318"
850,2523,116149,Primary,20,24,9,18.6,11.7,4.4,20.4,"£39,957"
850,2524,116150,Primary,13,13,3,11.0,6.3,2.6,19.2,"£38,439"
850,2526,116151,Primary,14,17,3,11.8,13.0,2.2,22.5,"£41,008"
850,2530,116154,Primary,10,13,2,9.0,7.0,1.8,23.7,"£41,702"
850,2531,116155,Primary,21,20,6,18.6,13.1,4.8,21.8,"£38,649"
850,2533,116157,Primary,20,25,2,18.4,15.9,2.0,19.1,"£38,877"
850,2534,116158,Primary,9,9,3,6.6,6.8,2.4,14.4,"£37,321"
850,2606,116162,Primary,17,25,6,14.7,14.4,4.4,22.2,"£39,130"
850,2607,116163,Primary,13,20,3,10.8,11.0,1.5,21.7,"£38,451"
850,2610,116164,Primary,18,19,5,15.8,12.7,3.1,20.4,"£35,551"
850,2612,116165,Primary,10,7,5,7.6,4.2,3.5,17.6,"£38,137"
850,2613,116166,Primary,11,15,7,9.4,9.2,4.1,19.7,"£41,431"
850,2617,116168,Primary,11,11,3,8.5,7.2,2.0,17.4,"£39,332"
850,2618,116169,Primary,11,10,3,9.4,6.8,1.9,18.8,"£42,030"
850,2619,116170,Primary,18,23,5,14.7,15.9,2.8,19.8,"£45,192"
850,2620,116171,Primary,13,18,4,11.1,13.8,3.0,20,"£42,249"
850,2621,116172,Primary,14,11,6,13.8,8.8,4.1,14.5,"£40,766"
850,2622,116173,Primary,8,14,3,6.4,6.9,2.4,21.5,"£45,629"
850,2623,116174,Primary,8,10,5,8.0,7.2,3.9,21.9,"£37,480"
850,2624,116175,Primary,11,13,4,8.8,6.2,2.7,21.6,"£40,259"
850,2625,116176,Primary,11,12,4,8.4,6.8,2.0,21,"£40,665"
850,2627,116177,Primary,22,36,8,19.7,17.5,5.9,19.3,"£38,790"
850,2630,116180,Primary,13,16,7,10.7,11.7,4.1,27.1,"£39,420"
851,2637,116182,Primary,8,11,5,8.0,6.6,4.3,21.3,"£41,567"
851,2648,116187,Primary,11,13,4,10.0,8.5,2.8,18.2,"£44,374"
851,2665,116192,Primary,10,17,3,9.0,9.9,1.8,19.1,"£38,538"
851,2673,116195,Primary,11,13,7,10.0,9.7,4.3,20.5,"£40,122"
851,2680,116200,Primary,11,12,4,8.2,7.4,2.4,22,"£40,780"
851,2689,116203,Primary,27,37,11,21.9,25.9,8.7,19.2,"£41,143"
851,2714,116221,Primary,22,16,5,19.3,12.7,4.2,17.9,"£40,110"
851,2716,116223,Primary,24,24,8,23.0,16.3,5.3,19.8,"£37,527"
850,2717,116224,Primary,9,6,3,7.6,3.7,2.1,21.6,"£41,705"
850,2718,116225,Primary,14,10,4,12.7,5.9,3.5,18.7,"£38,498"
851,2719,116226,Primary,14,28,13,11.2,12.5,10.4,19.8,"£39,630"
850,2723,116228,Primary,20,14,3,16.1,9.5,3.0,21.7,"£37,990"
850,2725,116230,Primary,13,18,2,11.7,11.7,2.0,19,"£37,926"
850,2726,116231,Primary,21,18,3,17.0,11.9,2.2,18.9,"£39,837"
850,2727,116232,Primary,22,33,3,17.5,17.2,2.1,23.7,"£39,120"
850,2728,116233,Primary,15,12,6,13.2,7.5,3.0,15.8,"£37,338"
850,2729,116234,All-through,88,54,20,79.4,38.6,15.9,17.8,"£40,891"
850,2732,116237,Primary,27,38,9,25.2,27.5,7.3,17.5,"£40,261"
850,2736,116241,Primary,13,16,7,10.6,7.7,3.3,22.4,"£40,112"
850,2737,116242,Primary,19,22,4,17.2,13.7,3.8,24,"£41,600"
850,2739,116243,Primary,11,13,4,9.0,9.0,3.0,24.3,"£38,960"
850,2740,116244,Primary,11,15,5,10.4,7.9,3.8,20.4,"£40,478"
850,2742,116246,Primary,9,7,2,7.7,4.2,1.4,18.1,"£38,321"
850,2749,116247,Primary,20,10,3,18.0,7.8,1.8,19.9,"£37,044"
850,2750,116248,Primary,22,18,3,19.9,9.9,3.0,21,"£36,364"
850,2752,116249,Primary,32,42,19,26.4,24.8,8.3,23.7,"£39,519"
850,2753,116250,Primary,11,7,3,8.6,5.3,2.1,17.2,"£33,369"
852,2754,116251,Primary,16,17,15,14.6,12.0,10.8,20.8,"£39,424"
852,2757,116253,Primary,22,14,4,19.8,12.8,3.1,19.4,"£38,973"
850,2761,116255,Primary,16,15,4,16.0,9.0,2.9,22.4,"£39,587"
850,2763,116256,Primary,20,34,8,17.4,24.8,5.1,24.8,"£39,138"
851,2765,116258,Primary,23,38,21,21.4,24.7,15.9,17.7,"£38,278"
850,2767,116260,Primary,20,20,5,16.2,11.3,1.9,23.7,"£38,783"
852,2769,116261,Primary,33,39,8,27.5,18.7,4.8,22.7,"£36,058"
852,2770,116262,Primary,25,33,8,23.4,22.6,4.3,18.4,"£38,364"
852,2771,116263,Primary,16,17,4,14.6,10.4,3.4,15.2,"£36,987"
850,2774,116265,Primary,22,26,8,17.4,17.4,5.4,18.9,"£40,902"
850,3000,116266,Primary,7,9,1,5.6,3.8,1.0,18.8,"£40,253"
850,3001,116267,Primary,13,7,4,9.7,5.2,2.3,21.8,"£40,833"
850,3003,116268,Primary,2,0,0,2.0,0.0,0.0,19,NA
850,3004,116269,Primary,10,14,3,8.8,10.6,2.2,23.1,"£38,768"
850,3009,116270,Primary,7,7,3,5.5,4.1,1.8,19.6,"£42,401"
850,3012,116271,Primary,7,10,3,5.8,4.9,1.3,14.7,"£40,612"
850,3014,116273,Primary,21,20,5,18.0,10.4,3.0,20.4,"£38,712"
850,3018,116275,Primary,9,9,3,6.8,5.7,2.2,14.6,"£40,254"
850,3019,116276,Primary,9,12,5,8.2,6.3,3.1,24.9,"£39,082"
850,3020,116277,Primary,14,12,2,11.4,8.1,1.8,22.3,"£38,263"
850,3022,116278,Primary,22,23,5,19.1,12.8,3.8,21.4,"£36,194"
850,3023,116279,Primary,11,8,4,9.0,6.0,2.3,20.9,"£39,156"
850,3027,116280,Primary,7,7,3,6.2,3.4,2.0,12.7,"£37,522"
850,3029,116281,Primary,7,6,2,5.2,3.0,1.4,18.2,"£39,873"
850,3032,116282,Primary,5,6,2,4.0,4.0,1.5,22.5,"£41,018"
850,3040,116283,Primary,8,10,3,6.4,4.0,1.7,20.7,"£39,675"
850,3046,116284,Primary,7,4,2,5.3,2.6,1.2,17.9,"£39,873"
850,3050,116285,Primary,5,7,2,3.6,4.2,1.4,19.6,"£43,833"
850,3052,116286,Primary,14,11,3,10.6,5.6,2.2,21,"£40,800"
850,3061,116288,Primary,16,15,1,13.9,11.5,1.0,21.9,"£39,337"
850,3062,116289,Primary,9,10,6,6.2,4.8,3.5,15.9,"£41,755"
850,3067,116290,Primary,14,10,3,10.7,5.4,1.6,19.3,"£39,936"
850,3081,116292,Primary,23,35,4,20.5,16.3,4.0,24.4,"£40,858"
850,3082,116293,Primary,6,6,2,5.0,3.8,1.2,20.4,"£39,980"
850,3083,116294,Primary,6,5,2,4.3,2.2,1.0,10,"£35,726"
850,3088,116295,Primary,13,15,2,11.6,7.7,2.0,19.5,"£37,680"
850,3089,116296,Primary,8,5,3,6.7,2.9,1.9,15.8,"£37,442"
850,3095,116297,Primary,21,25,8,18.2,13.1,4.1,20.8,"£40,367"
850,3096,116298,Primary,10,9,1,5.7,4.2,1.0,20.2,"£41,443"
850,3100,116299,Primary,14,15,2,11.0,10.0,1.8,20.4,"£39,126"
850,3101,116300,Primary,16,21,11,11.1,12.6,7.2,18,"£36,639"
850,3102,116301,Primary,6,5,3,3.2,3.1,1.4,19.7,"£38,673"
850,3110,116302,Primary,5,5,2,4.0,3.4,1.6,22.5,"£37,178"
850,3112,116303,Primary,10,11,3,8.5,7.0,2.3,21.2,"£38,157"
850,3118,116304,Primary,17,22,6,13.3,10.8,3.6,22,"£38,148"
850,3119,116305,Primary,18,12,3,16.6,6.2,2.8,23.5,"£40,745"
850,3120,116306,Primary,16,12,3,12.5,5.0,2.0,19.3,"£38,993"
850,3124,116307,Primary,11,17,2,9.2,13.7,1.8,18.8,"£41,033"
850,3126,116308,Primary,10,6,2,7.9,2.8,1.7,15.7,"£37,830"
850,3132,116309,Primary,13,13,5,11.9,7.9,3.6,22.8,"£41,926"
850,3136,116310,Primary,12,13,4,10.7,7.8,2.9,19.2,"£37,584"
850,3137,116311,Primary,20,22,4,15.0,9.6,2.7,20.4,"£38,701"
850,3138,116312,Primary,8,8,3,7.0,5.0,2.0,23.7,"£39,169"
850,3142,116313,Primary,19,19,3,16.0,12.8,2.6,22.9,"£40,206"
850,3143,116314,Primary,14,21,15,12.4,10.9,5.3,21.8,"£39,726"
850,3144,116315,Primary,5,6,2,4.8,3.3,1.4,23.8,"£43,910"
850,3146,116316,Primary,12,9,0,7.7,3.5,0.0,19,"£36,999"
850,3147,116317,Primary,8,10,1,6.2,6.9,0.8,21.5,"£38,966"
850,3149,116318,Primary,11,5,4,9.5,2.5,3.1,21.2,"£39,453"
850,3150,116319,Primary,8,7,2,5.2,4.5,1.4,18.9,"£38,759"
850,3156,116320,Primary,7,10,2,6.5,7.2,1.7,23.5,"£40,829"
850,3163,116321,Primary,6,3,2,5.2,1.9,0.9,16.9,"£38,319"
850,3168,116322,Primary,6,7,2,4.2,3.2,1.0,16.4,"£45,349"
850,3169,116323,Primary,5,6,1,4.6,3.5,0.8,8.9,"£39,807"
850,3170,116324,Primary,24,26,4,19.7,18.7,3.4,23.6,"£39,851"
850,3171,116325,Primary,14,14,3,12.7,8.7,2.0,18.9,"£41,171"
850,3172,116326,Primary,14,12,4,10.3,4.9,2.5,19.1,"£39,282"
850,3176,116327,Primary,21,23,8,18.6,13.0,4.4,21.8,"£39,743"
850,3177,116328,Primary,7,7,2,4.8,4.8,1.3,20.6,"£36,149"
850,3181,116329,Primary,20,31,6,18.3,21.7,4.5,22.5,"£39,427"
850,3183,116330,Primary,19,15,4,15.5,8.6,3.3,23.5,"£37,794"
850,3184,116331,Primary,26,32,8,23.8,20.5,6.1,23.9,"£36,823"
850,3185,116332,Primary,17,21,6,13.8,12.8,3.4,18.9,"£39,976"
850,3186,116333,Primary,20,17,4,17.3,11.2,3.1,20.3,"£37,869"
850,3190,116334,Primary,20,17,6,17.7,13.0,3.7,19.2,"£39,172"
850,3191,116335,Primary,12,15,6,10.1,9.6,4.3,19.6,"£42,050"
850,3192,116336,Primary,21,19,9,18.7,15.7,4.3,18.2,"£37,695"
850,3196,116337,Primary,15,13,3,10.3,7.9,1.7,21.2,"£39,925"
850,3197,116338,Primary,19,19,6,17.0,11.4,4.1,21.8,"£41,434"
852,3200,116339,Primary,21,22,6,18.3,11.6,3.5,22.9,"£37,142"
852,3203,116342,Primary,21,26,11,19.4,19.5,7.6,19.1,"£39,940"
852,3205,116343,Primary,38,32,7,35.2,24.6,4.7,16.3,"£34,417"
851,3212,116344,Primary,21,20,12,19.3,14.2,6.9,21.2,"£37,121"
850,3213,116345,Primary,8,8,1,6.7,4.5,1.0,16,"£40,535"
851,3214,116346,Primary,23,35,4,19.5,19.4,3.6,16.3,"£38,582"
850,3300,116348,Primary,7,5,1,5.1,2.6,0.9,20.2,"£40,629"
850,3301,116349,Primary,5,6,4,4.8,3.3,1.5,21.5,"£44,432"
850,3305,116350,Primary,19,12,5,16.8,7.5,3.8,21.2,"£40,425"
850,3308,116351,Primary,5,10,7,5.0,5.3,3.4,20.8,"£44,612"
850,3310,116352,Primary,11,10,2,9.5,6.9,1.6,22,"£38,540"
850,3311,116353,Primary,8,12,3,6.4,6.3,2.0,20.4,"£36,215"
850,3318,116354,Primary,8,3,2,5.6,2.1,1.7,19.8,"£40,456"
850,3321,116355,Primary,10,9,2,6.9,4.7,1.4,18.2,"£42,083"
850,3325,116356,Primary,10,8,4,7.3,5.1,2.1,17.4,"£39,445"
850,3326,116357,Primary,11,12,5,9.4,5.5,2.1,22.9,"£41,845"
850,3330,116358,Primary,26,27,10,21.0,15.9,6.0,25.4,"£41,285"
850,3341,116359,Primary,4,5,2,4.0,2.5,1.5,8.8,"£37,071"
850,3344,116360,Primary,13,15,4,10.0,6.9,2.0,19.7,"£41,111"
850,3345,116361,Primary,12,13,3,10.0,4.6,2.8,17.1,"£36,958"
850,3346,116362,Primary,14,14,7,9.7,8.0,3.7,22.2,"£40,883"
850,3356,116363,Primary,7,4,2,5.7,3.2,1.1,16.7,"£38,260"
850,3357,116364,Primary,5,5,2,4.9,3.4,1.3,20.6,"£43,887"
850,3358,116365,Primary,9,8,4,7.5,5.9,2.7,23.2,"£34,301"
850,3360,116366,Primary,6,5,3,5.0,3.5,1.7,15,"£41,524"
850,3382,116368,Primary,12,12,3,10.7,6.9,2.0,17.7,"£37,131"
850,3389,116369,Primary,11,12,4,9.0,6.8,1.7,23.1,"£39,977"
850,3390,116370,Primary,6,5,2,5.6,3.7,1.7,17.7,"£43,215"
850,3392,116371,Primary,21,29,7,18.0,13.5,5.1,23.5,"£41,365"
850,3395,116372,Primary,6,6,2,5.0,3.5,1.4,18.4,"£41,979"
850,3396,116373,Primary,9,14,2,8.4,6.9,1.5,25.1,"£41,844"
850,3399,116374,Primary,13,10,3,8.7,3.3,1.6,17.2,"£35,917"
850,3401,116375,Primary,13,9,2,8.6,5.0,1.6,21.9,"£40,108"
850,3404,116376,Primary,11,16,4,9.8,10.3,3.0,21.1,"£38,344"
850,3407,116377,Primary,23,22,9,15.0,11.7,5.1,21,"£40,021"
850,3409,116378,Primary,3,7,1,1.8,4.2,0.9,NA,"£37,703"
850,3415,116380,Primary,20,25,4,18.9,16.6,3.5,22.9,"£37,459"
850,3417,116381,Primary,22,23,6,18.3,14.8,4.3,21.7,"£38,280"
850,3418,116382,Primary,11,14,3,9.8,8.7,1.9,22.2,"£39,661"
850,3419,116383,Primary,12,13,5,8.6,7.3,3.1,22.4,"£37,689"
851,3420,116384,Primary,17,18,6,15.2,13.0,3.8,19.7,"£35,889"
851,3422,116385,Primary,15,15,5,11.3,11.7,3.7,20.4,"£40,656"
851,3423,116386,Primary,18,20,15,14.9,14.1,9.2,22.9,"£39,843"
850,3426,116387,Primary,11,14,4,9.5,5.6,3.2,20.6,"£38,372"
850,3500,116388,Primary,10,8,5,8.0,3.5,3.0,20.2,"£35,956"
850,3501,116389,Primary,9,5,2,6.1,2.1,1.7,17.4,"£40,358"
850,3551,116390,Primary,14,12,6,10.6,7.4,5.4,22.7,"£41,317"
850,3553,116391,Primary,16,19,3,14.2,10.0,2.5,19.4,"£38,050"
850,3600,116392,Primary,15,14,5,12.1,10.1,3.5,21.8,"£38,766"
850,3602,116393,Primary,23,29,7,18.0,16.1,4.0,21.2,"£39,557"
850,3650,116394,Primary,13,14,2,9.9,6.3,1.8,20.9,"£39,333"
852,3655,116395,Primary,17,17,6,14.2,9.1,3.0,22.1,"£37,782"
852,3657,116397,Primary,28,13,6,28.0,11.4,5.7,14.7,"£34,052"
852,3658,116398,Primary,25,19,4,19.4,9.3,3.6,21.3,"£39,211"
850,3660,116399,Primary,7,11,2,5.4,3.5,1.2,18.7,"£42,663"
850,3661,116400,Primary,18,19,3,16.2,11.5,2.1,19.2,"£36,983"
850,3663,116402,Primary,24,23,5,17.4,10.2,3.0,24.7,"£40,702"
850,3666,116403,Primary,9,13,5,7.4,7.7,2.1,22.4,"£36,757"
850,4001,116405,Secondary,59,15,22,55.7,12.3,16.6,17.7,"£41,196"
850,4012,116407,All-through,103,46,30,86.6,31.5,24.0,18.7,"£42,051"
850,4113,116411,Secondary,69,35,21,56.1,26.4,14.0,18.1,"£40,809"
850,4117,116412,Secondary,76,12,25,69.9,8.8,17.5,16.2,"£43,843"
850,4119,116413,Secondary,70,21,30,64.9,16.7,26.3,16.8,"£40,643"
850,4133,116418,Secondary,52,44,24,45.5,22.6,17.5,14.7,"£40,604"
850,4136,116419,Secondary,117,29,38,108.8,21.8,32.1,16.5,"£42,441"
850,4144,116422,Secondary,68,17,20,59.2,12.5,16.7,16.5,"£43,004"
850,4147,116423,Secondary,35,26,19,31.8,14.8,13.9,17.5,"£43,960"
850,4149,116424,Secondary,87,29,30,81.0,25.6,25.0,16.1,"£39,519"
850,4153,116426,Secondary,32,10,17,27.9,5.3,12.4,15.1,"£42,142"
850,4156,116427,Secondary,59,19,23,52.8,14.3,18.2,16.5,"£39,646"
850,4159,116428,Secondary,59,31,30,54.8,20.7,21.8,15.9,"£40,121"
850,4162,116430,Secondary,31,9,16,29.1,5.6,9.6,15.4,"£42,812"
850,4163,116431,Secondary,66,17,26,61.3,13.2,22.7,15.5,"£44,593"
850,4164,116432,Secondary,41,13,17,39.1,8.9,15.2,13.7,"£42,434"
850,4166,116433,Secondary,78,24,37,66.7,13.1,25.4,17.3,"£43,374"
850,4171,116436,Secondary,87,31,35,77.2,16.9,23.7,17.2,"£42,495"
850,4173,116437,Secondary,81,53,28,74.6,40.1,20.7,17,"£39,717"
850,4174,116438,Secondary,68,19,29,60.6,14.8,19.4,16.8,"£39,793"
850,4180,116440,Secondary,48,21,18,45.7,14.6,15.0,16.6,"£40,824"
850,4182,116441,Secondary,59,15,23,55.6,11.2,19.7,17.3,"£41,145"
850,4183,116442,Secondary,43,23,17,40.8,15.1,15.2,18,"£42,257"
850,4191,116445,Secondary,79,58,21,74.3,46.9,18.4,16.4,"£40,736"
850,4203,116446,Secondary,58,19,23,53.8,15.3,19.8,16.6,"£40,379"
850,4204,116447,Secondary,34,14,16,32.0,12.1,14.6,19.4,"£45,907"
850,4206,116448,Secondary,72,16,27,64.0,12.4,22.6,15.8,"£39,708"
852,4262,116450,Secondary,55,16,19,52.1,12.9,15.3,16.4,"£41,388"
852,4270,116453,Secondary,88,16,21,86.0,12.6,17.4,12.1,"£36,753"
852,4271,116454,Secondary,38,10,12,36.8,9.6,11.2,14.8,"£40,510"
852,4278,116458,Secondary,136,50,46,128.9,39.2,38.8,15.4,"£40,938"
851,4303,116463,All-through,78,31,20,75.2,31.0,20.0,18.9,"£40,517"
852,4306,116465,Secondary,53,19,32,51.5,11.6,17.4,13.1,"£37,379"
850,4307,116466,Secondary,60,24,24,49.9,18.9,18.7,16.1,"£40,246"
850,4310,116468,Secondary,125,64,42,104.9,44.9,32.8,16.7,"£40,569"
852,4311,116469,Secondary,69,16,28,63.7,14.9,27.2,18.4,"£39,308"
