LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
330,2021,134281,Primary,21,12,5,20.2,10.6,5.0,17.7,"£37,231"
357,4006,134283,Secondary,51,11,18,47.5,9.5,17.5,18.1,"£43,039"
359,7001,134297,Not applicable,16,38,6,14.8,33.2,5.0,7.1,"£42,880"
373,2369,134302,Primary,26,44,3,21.9,31.4,2.6,20.5,"£36,918"
856,2388,134305,Primary,21,29,8,19.3,22.1,7.1,20.6,"£41,053"
308,2094,134307,Primary,19,19,8,16.7,17.8,5.7,15.3,"£49,121"
308,6905,134311,Secondary,53,22,21,51.8,21.7,19.0,15.7,"£43,017"
206,6905,134314,All-through,98,28,29,95.6,23.2,26.7,14.6,"£46,472"
383,2002,134317,Primary,17,29,3,14.6,14.3,1.9,22.8,"£37,768"
826,3383,134318,Primary,24,29,9,20.7,18.1,7.2,20.2,"£39,290"
896,3802,134336,Primary,20,16,7,14.0,10.1,3.6,22.5,"£37,860"
343,3378,134343,Primary,20,32,17,19.0,19.6,6.3,23.4,"£42,596"
860,3492,134353,Primary,22,21,4,18.1,11.4,3.4,22.6,"£38,114"
307,6905,134369,All-through,80,44,38,79.0,41.9,36.3,20.9,"£46,308"
343,3385,134371,Primary,15,18,2,13.4,14.2,1.2,22.5,"£45,065"
384,3341,134376,Primary,21,45,7,19.4,21.7,5.4,22,"£37,797"
383,3917,134405,Primary,17,21,3,15.0,13.7,3.0,21.8,"£41,668"
383,3921,134407,Primary,21,22,8,19.2,11.6,4.4,20.9,"£39,951"
826,3384,134423,Primary,7,6,1,6.4,4.4,1.0,13.7,"£38,909"
331,3437,134426,Primary,13,10,3,9.9,5.9,2.5,15.5,"£42,299"
341,3961,134471,Primary,23,23,6,22.0,19.2,4.9,17.3,"£39,565"
929,3918,134473,Primary,20,16,3,18.3,10.1,1.9,19.6,"£39,595"
